City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,High Level,CA,2022-02-13 22:08:22,58.5169,-117.136,5.68,86,16,3.13,few clouds
202,Balclutha,NZ,2022-02-13 22:11:30,-46.2339,169.75,61.61,64,12,1.28,few clouds
203,Kavieng,PG,2022-02-13 22:07:44,-2.5744,150.7967,82.08,76,97,6.2,overcast clouds
204,Bambous Virieux,MU,2022-02-13 22:11:31,-20.3428,57.7575,81.21,94,75,11.5,broken clouds
205,Thames,NZ,2022-02-13 22:11:31,-37.1333,175.5333,71.11,60,2,3.22,clear sky
206,Khatanga,RU,2022-02-13 22:11:32,71.9667,102.5,-25.62,96,74,3.15,broken clouds
207,Gurupa,BR,2022-02-13 22:11:32,-1.405,-51.64,75.2,91,76,3.02,broken clouds
208,Poronaysk,RU,2022-02-13 22:11:33,49.2167,143.1167,5.13,95,90,6.87,overcast clouds
209,Lunavada,IN,2022-02-13 22:11:33,23.1333,73.6167,65.3,30,0,3.96,clear sky
210,Kearney,US,2022-02-13 22:11:34,40.6995,-99.0815,45.16,33,0,17.27,clear sky
211,Manado,ID,2022-02-13 22:11:34,1.487,124.8455,72.37,94,20,1.14,few clouds
212,Gore,NZ,2022-02-13 22:11:35,-46.1028,168.9436,59.23,63,15,1.5,few clouds
213,Nalut,LY,2022-02-13 22:11:35,30.3333,10.85,53.83,28,22,12.15,few clouds
214,Norman Wells,CA,2022-02-13 22:10:31,65.282,-126.8329,-2.99,92,100,7.14,overcast clouds
215,Poum,NC,2022-02-13 22:10:07,-20.2333,164.0167,81.77,76,96,11.39,overcast clouds
216,Acarau,BR,2022-02-13 22:11:36,-2.8856,-40.12,79.93,79,10,15.48,clear sky
217,Butaritari,KI,2022-02-13 22:09:34,3.0707,172.7902,81.55,77,60,12.77,light rain
218,Tezu,IN,2022-02-13 22:11:37,27.9167,96.1667,52.41,43,0,5.06,clear sky
219,Bonavista,CA,2022-02-13 22:11:37,48.6499,-53.1147,38.12,76,100,19.06,overcast clouds
